key,estimated_noise
04401088/3ff176780a009cd93b61739f3c4d4342,0.0061236317600160605
02691156/8b0d9118e9e7dc3f95c9af648ce95367,0.007491341444175812
02691156/5678fc24603d25cb74745e8fbb11e3df,0.005018321587129454
02691156/14c954d5d3c8e954b6b87e72ead132ed,0.006819448865343874
02691156/47006ce926cd5519b3f2b01de37c0b29,0.007677709582946016
02691156/1d4f988b009edadf54a2210c7b2aa25,0.00769725789994391
02691156/845364350601ca0cbdf0b44e2f8f4e6d,0.008044129174945165
04468005/b5be8fd2d66546f452470de2774d6099,0.007301117062116095
04468005/40fcd2ccc96b3fbd041917556492646,0.005986259210396222
03642806/df624231ef05b83d54c7ab6aa5674ccc,0.009692872484874888
04379243/795baddfac35711a30e44a4c4faa2773,0.00971778820293137
04379243/edba7eb533ae3578ece232edf44331c7,0.01059154405494043
04379243/38b5da2eb70009d6c045ebb62fca20c6,0.008469666585450241
04379243/fb89493e6389039527d4fc401a34f3de,0.008794749171627864
04379243/741b91f2187d54792d4fd2b0f2040d45,0.0065441060019004954
04379243/4afbcdeba648df2e19fb4103277a6b93,0.006784233313400497
04379243/c9b834aeda78274029edbf57bdd3b0af,0.008938106397799803
04379243/93e81005c19a74b8664b3b9b23ddfcbc,0.009712928242183356
04379243/114377fc17eceaae3e12d7ebda60f8f,0.012141862511900189
04379243/91dbfe4dac593d3e35836c728d324152,0.0067192046237013305
04379243/bb201d4811ab271ecf5469d07a8db811,0.008847013577205218
04379243/c153d0d6b4fcf74f54a61dbdbc1ac262,0.009673305242456442
04379243/47008a5646d3d84d85969b141e43f51,0.007021698391752197
04379243/6ec67ee0e57282c01e6058fbce2703bb,0.008548357458756864
04379243/d63496bc51de5d77e3837ef7356e7613,0.00956164007145528
04379243/3f756d8d35b51ad629e4b5aa807bb4e7,0.008958221717934128
02871439/a98efeb82eabc760defc4117d86acef0,0.009851864691042886
04256520/61d93b7c3e83541c81dff5c2e57ad46e,0.008536240083467246
04256520/946ab73b9f05a85ad5b24cafb84903c7,0.010633846851726435
04256520/ef05b57542cbf151e7e684d25d4dcaf0,0.009289730479055068
